Year,Brand,ENTREPRENEURSHIP,QUALITY OF LIFE,SOCIAL PURPOSE,CULTURAL INFLUENCE,OPEN FOR BUSINESS,ADVENTURE,POWER,HERITAGE,MOVERS,OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Uruguay,3.62,10.72,9.49,3.97,43.34,19.35,0.34,9.21,26.95,10.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Viet Nam,7.93,19.36,1.58,5.63,52.29,20.66,7.60,31.99,64.53,21.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Angola,0.73,3.56,2.40,0.38,39.94,4.81,4.72,0.67,24.34,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Algeria,1.69,1.73,1.66,0.00,44.29,4.01,6.06,5.99,12.17,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Argentina,12.09,13.85,16.62,26.89,30.21,65.06,4.31,51.33,15.73,20.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Australia,75.53,94.28,89.66,51.86,77.22,65.61,24.62,27.41,43.51,92.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Austria,61.70,77.63,74.26,32.98,70.47,34.42,11.15,45.08,9.67,67.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Azerbaijan,2.21,7.86,3.52,1.14,38.02,6.39,6.06,6.69,29.31,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Bahrain,9.75,8.61,2.83,8.22,44.58,5.64,8.07,1.00,40.82,12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Belarus,6.85,8.51,7.41,2.49,23.11,12.13,11.19,8.81,20.67,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Bolivia,0.39,8.59,4.09,2.00,49.26,18.65,3.47,9.43,13.50,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Brazil,14.26,9.70,15.66,55.91,39.74,100.00,12.89,60.07,65.45,40.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Bulgaria,6.11,16.69,14.31,1.31,49.09,14.85,1.75,18.12,0.00,8.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Canada,84.11,100.00,96.20,49.06,84.96,41.33,41.95,24.51,31.49,96.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Chile,7.01,16.36,12.42,8.89,56.32,36.47,2.74,32.55,18.58,16.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,China,68.08,42.88,9.99,35.90,49.98,13.76,91.03,65.67,76.18,65.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Colombia,4.33,5.51,6.58,10.59,38.77,39.78,5.01,18.48,16.62,9.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Costa Rica,2.21,10.71,9.36,16.81,65.53,67.72,2.29,13.28,28.64,19.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Croatia,12.50,19.14,16.16,11.32,47.77,37.68,0.89,25.93,17.33,18.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Czechia,24.06,25.32,31.36,8.77,50.72,19.02,3.86,30.50,6.39,23.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Denmark,73.55,96.18,93.88,42.37,86.23,30.19,14.05,19.71,21.05,84.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Dominican Republic,1.82,14.36,9.22,16.27,66.98,55.16,2.39,12.14,19.72,17.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Ecuador,3.15,11.84,7.56,5.10,52.25,31.53,2.31,14.07,31.20,12.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Egypt,5.32,4.96,1.15,22.00,26.85,23.33,13.96,64.53,66.83,19.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Finland,73.99,90.12,95.19,36.03,85.57,34.51,8.68,17.36,32.64,83.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,France,69.81,54.42,68.17,96.12,56.85,48.42,68.09,89.30,22.78,88.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Germany,100.00,84.14,80.16,48.07,63.55,13.48,85.65,42.79,32.60,95.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Ghana,1.96,8.01,1.82,0.96,47.86,9.57,4.50,0.00,27.31,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Greece,14.60,20.53,20.40,38.93,43.21,73.40,5.93,93.48,36.84,35.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Guatemala,0.00,9.76,4.38,3.27,51.32,19.18,3.00,9.73,19.99,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Hungary,17.27,25.30,23.89,6.77,52.40,19.30,2.26,36.08,3.72,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,India,29.01,21.78,6.31,32.37,59.92,30.44,28.07,81.10,90.75,45.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Indonesia,10.31,19.53,5.53,9.97,64.96,34.01,6.53,32.37,39.37,21.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Iran,1.86,0.00,0.00,1.81,7.08,0.00,31.44,14.47,21.58,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Ireland,46.71,59.38,63.22,29.88,74.45,47.32,5.35,44.89,20.14,58.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Israel,40.04,17.04,13.62,12.22,33.43,4.25,61.11,34.74,47.10,33.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Italy,48.74,40.51,45.44,100.00,51.22,87.90,23.27,100.00,36.92,73.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Japan,99.32,69.30,48.33,70.13,63.47,26.93,61.37,62.66,75.28,94.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Jordan,3.44,4.76,2.53,3.44,42.81,7.32,11.89,21.08,20.11,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Kazakhstan,0.47,6.78,2.28,0.85,41.49,3.49,9.43,3.33,30.44,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Kenya,2.34,7.84,1.82,4.39,45.28,21.09,4.57,8.41,39.40,9.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Latvia,7.07,16.58,15.90,2.73,54.45,11.17,0.00,6.23,8.70,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Lebanon,2.06,1.75,1.11,5.21,33.12,8.17,8.22,24.81,14.83,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Luxembourg,61.70,68.61,73.50,35.48,98.74,19.45,8.61,18.00,14.65,68.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Malaysia,18.75,23.70,6.91,13.56,73.49,34.53,3.52,27.30,44.38,27.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mexico,11.94,14.42,8.84,33.57,41.30,66.52,7.30,79.74,40.61,28.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
